iter	Passed	Remaining
0	67	67292
1	123	61600
2	182	60668
3	243	60710
4	306	60940
5	363	60197
6	421	59816
7	481	59708
8	543	59795
9	603	59713
10	657	59154
11	716	59027
12	778	59095
13	836	58878
14	893	58696
15	950	58452
16	1007	58254
17	1067	58225
18	1126	58175
19	1181	57911
20	1244	58035
21	1302	57885
22	1357	57644
23	1415	57551
24	1474	57516
25	1534	57483
26	1590	57326
27	1647	57181
28	1709	57254
29	1769	57206
30	1831	57244
31	1896	57382
32	1957	57353
33	2020	57392
34	2081	57386
35	2139	57283
36	2203	57341
37	2262	57285
38	2321	57192
39	2378	57084
40	2438	57048
41	2497	56968
42	2553	56827
43	2616	56841
44	2674	56767
45	2737	56771
46	2799	56768
47	2859	56712
48	2923	56733
49	2988	56782
50	3049	56743
51	3108	56670
52	3169	56628
53	3229	56576
54	3293	56592
55	3358	56608
56	3425	56678
57	3488	56656
58	3548	56594
59	3607	56520
60	3678	56626
61	3746	56681
62	3808	56642
63	3877	56714
64	3944	56734
65	4007	56714
66	4065	56619
67	4124	56531
68	4189	56528
69	4252	56495
70	4312	56429
71	4369	56324
72	4436	56334
73	4498	56291
74	4555	56190
75	4614	56106
76	4675	56046
77	4738	56009
78	4800	55964
79	4865	55951
80	4926	55896
81	4985	55817
82	5045	55748
83	5104	55660
84	5165	55602
85	5225	55539
86	5288	55495
87	5347	55417
88	5408	55365
89	5467	55282
90	5528	55221
91	5589	55165
92	5650	55105
93	5706	54998
94	5763	54900
95	5817	54784
96	5878	54720
97	5933	54608
98	5989	54513
99	6048	54434
100	6103	54323
101	6160	54238
102	6219	54160
103	6274	54053
104	6330	53961
105	6389	53889
106	6448	53816
107	6505	53732
108	6563	53653
109	6620	53564
110	6678	53489
111	6739	53431
112	6799	53370
113	6856	53290
114	6912	53195
115	6969	53111
116	7030	53055
117	7085	52963
118	7141	52874
119	7193	52750
120	7249	52661
121	7305	52573
122	7363	52499
123	7423	52440
124	7478	52346
125	7536	52274
126	7594	52205
127	7652	52133
128	7709	52054
129	7765	51971
130	7827	51923
131	7881	51828
132	7938	51748
133	8002	51716
134	8057	51625
135	8114	51550
136	8173	51485
137	8228	51399
138	8283	51308
139	8337	51217
140	8395	51146
141	8454	51085
142	8510	51002
143	8569	50940
144	8626	50867
145	8679	50767
146	8736	50696
147	8793	50624
148	8854	50573
149	8916	50524
150	8971	50442
151	9029	50375
152	9089	50318
153	9144	50236
154	9199	50152
155	9257	50083
156	9313	50008
157	9370	49935
158	9426	49858
159	9480	49774
160	9537	49700
161	9592	49621
162	9651	49558
163	9707	49485
164	9762	49404
165	9823	49355
166	9882	49294
167	9935	49205
168	10001	49181
169	10059	49112
170	10113	49028
171	10169	48954
172	10226	48886
173	10283	48815
174	10335	48722
175	10388	48638
176	10441	48552
177	10497	48476
178	10554	48408
179	10611	48341
180	10669	48277
181	10723	48198
182	10780	48129
183	10839	48072
184	10902	48029
185	10956	47947
186	11009	47863
187	11061	47777
188	11117	47706
189	11170	47621
190	11227	47557
191	11283	47485
192	11340	47416
193	11400	47364
194	11456	47293
195	11511	47221
196	11571	47169
197	11628	47103
198	11686	47039
199	11743	46975
200	11813	46958
201	11870	46893
202	11925	46821
203	11991	46789
204	12050	46734
205	12104	46657
206	12165	46604
207	12222	46538
208	12281	46483
209	12339	46420
210	12394	46345
211	12451	46281
212	12511	46229
213	12567	46159
214	12631	46120
215	12684	46039
216	12740	45972
217	12798	45908
218	12858	45854
219	12912	45781
220	12972	45725
221	13027	45653
222	13085	45593
223	13140	45522
224	13198	45462
225	13257	45404
226	13310	45326
227	13366	45258
228	13423	45195
229	13476	45117
230	13533	45052
231	13586	44975
232	13644	44915
233	13703	44858
234	13763	44803
235	13818	44735
236	13880	44687
237	13937	44624
238	13994	44559
239	14048	44486
240	14102	44414
241	14165	44370
